domain	complex
RPG1_1	EIF3
RPG1_2	EIF3
RPG1_3	EIF3
PRT1_1	EIF3
PRT1_2	EIF3
PRT1_3	EIF3
NIP1_1	EIF3
NIP1_2	EIF3
NIP1_3	EIF3
TIF35_1	EIF3
TIF35_2	EIF3
TIF34_1	EIF3
TIF5_1	EIF3
TIF5_2	EIF3
MCM2_1	MCM
MCM2_2	MCM
MCM2_3	MCM
MCM2_4	MCM
MCM3_1	MCM
MCM3_2	MCM
MCM3_3	MCM
MCM3_4	MCM
MCM4_1	MCM
MCM4_2	MCM
MCM4_3	MCM
MCM4_4	MCM
MCM4_5	MCM
MCM5_1	MCM
MCM5_2	MCM
MCM5_3	MCM
MCM5_4	MCM
MCM6_1	MCM
MCM6_2	MCM
MCM6_3	MCM
MCM6_4	MCM
MCM6_5	MCM
MCM7_1	MCM
MCM7_2	MCM
MCM7_3	MCM
MCM7_4	MCM
SEH1_1	NUP84
SEH1_2	NUP84
NUP85_1	NUP84
NUP85_2	NUP84
NUP120_1	NUP84
NUP145C_1	NUP84
NUP145C_2	NUP84
NUP145C_3	NUP84
SEC13_1	NUP84
ORC1_1	ORC
ORC1_2	ORC
ORC1_3	ORC
ORC2_1	ORC
ORC2_2	ORC
ORC3_1	ORC
ORC3_2	ORC
ORC3_3	ORC
ORC4_1	ORC
ORC4_2	ORC
ORC5_1	ORC
ORC5_2	ORC
ORC6_1	ORC
ORC6_2	ORC
ORC6_3	ORC
PAN1_1	PAN1
PAN1_2	PAN1
PAN1_3	PAN1
PAN1_4	PAN1
END3_1	PAN1
END3_2	PAN1
END3_3	PAN1
END3_4	PAN1
SLA1_1	PAN1
SLA1_2	PAN1
SLA1_3	PAN1
SLA1_4	PAN1
SLA1_5	PAN1
SMC5_1	SMC5_6
SMC5_2	SMC5_6
SMC5_3	SMC5_6
SMC6_1	SMC5_6
SMC6_2	SMC5_6
SMC6_3	SMC5_6
SMC6_4	SMC5_6
SMC6_5	SMC5_6
NSE5_1	SMC5_6
NSE5_2	SMC5_6
NSE5_3	SMC5_6
NSE5_4	SMC5_6
NSE6_1	SMC5_6
NSE6_2	SMC5_6
NSE6_3	SMC5_6
THO2_1	TREX
THO2_2	TREX
THO2_3	TREX
HPR1_1	TREX
HPR1_2	TREX
TEX1_1	TREX
TEX1_2	TREX
TEX1_3	TREX
MFT1_1	TREX
MFT1_2	TREX
MFT1_3	TREX
THP2_1	TREX
EXO84_1	EXOCYST
EXO84_2	EXOCYST
EXO84_3	EXOCYST
EXO84_4	EXOCYST
SEC3_1	EXOCYST
SEC3_2	EXOCYST
SEC3_3	EXOCYST
SEC3_4	EXOCYST
SEC5_1	EXOCYST
SEC6_1	EXOCYST
SEC6_2	EXOCYST
SEC8_1	EXOCYST
SEC8_2	EXOCYST
SEC10_1	EXOCYST
SEC10_2	EXOCYST
SEC15_1	EXOCYST
SEC15_2	EXOCYST
EXO70_1	EXOCYST
EXO70_2	EXOCYST
EXO70_3	EXOCYST
EXO70_4	EXOCYST
MCM21_1	COMA
MCM21_2	COMA
MCM21_3	COMA
AME1_1	COMA
AME1_2	COMA
AME1_3	COMA
AME1_4	COMA
OKP1_1	COMA
OKP1_2	COMA
OKP1_3	COMA
CTF19_1	COMA
SWI1_1	SWI_SNF
SWI1_2	SWI_SNF
SWI1_3	SWI_SNF
SNF5_1	SWI_SNF
SNF5_2	SWI_SNF
SNF6_1	SWI_SNF
SNF6_2	SWI_SNF
SNF6_3	SWI_SNF
SNF2_1	SWI_SNF
SNF2_2	SWI_SNF
SNF2_3	SWI_SNF
SNF2_4	SWI_SNF
SNF2_5	SWI_SNF
SNF2_6	SWI_SNF
SWI3_1	SWI_SNF
SWI3_2	SWI_SNF
SWI3_3	SWI_SNF
RTT102_1	SWI_SNF
SNF12_1	SWI_SNF
SNF12_2	SWI_SNF
RTT101_1	CUL8_MMS1_MMS22_CTF4
RTT101_2	CUL8_MMS1_MMS22_CTF4
RTT101_3	CUL8_MMS1_MMS22_CTF4
MMS22_1	CUL8_MMS1_MMS22_CTF4
MMS22_2	CUL8_MMS1_MMS22_CTF4
MMS22_3	CUL8_MMS1_MMS22_CTF4
MMS1_1	CUL8_MMS1_MMS22_CTF4
MMS1_2	CUL8_MMS1_MMS22_CTF4
MMS1_3	CUL8_MMS1_MMS22_CTF4
MMS1_4	CUL8_MMS1_MMS22_CTF4
MMS1_5	CUL8_MMS1_MMS22_CTF4
HRT1_1	CUL8_MMS1_MMS22_CTF4
CTF4_1	CUL8_MMS1_MMS22_CTF4
CTF4_2	CUL8_MMS1_MMS22_CTF4
SGT2_1	GET4_GET5
SGT2_2	GET4_GET5
MDY2_1	GET4_GET5
MDY2_2	GET4_GET5
MDY2_3	GET4_GET5
GET4_1	GET4_GET5
YBR137W_1	GET4_GET5
ATG17_1	ATG17_ATG31_ATG29
ATG31_1	ATG17_ATG31_ATG29
ATG31_2	ATG17_ATG31_ATG29
ATG29_1	ATG17_ATG31_ATG29
ATG29_2	ATG17_ATG31_ATG29
ATG1_1	ATG17_ATG31_ATG29
ATG1_2	ATG17_ATG31_ATG29
ATG13_1	ATG17_ATG31_ATG29
ATG13_2	ATG17_ATG31_ATG29
STP22_1	ESCRT_I
STP22_2	ESCRT_I
MVB12_1	ESCRT_I
VPS28_1	ESCRT_I
VPS28_2	ESCRT_I
SRN2_1	ESCRT_I
SRN2_2	ESCRT_I
ATP1_1	MITO_ATP
ATP1_2	MITO_ATP
ATP1_3	MITO_ATP
ATP2_1	MITO_ATP
ATP2_2	MITO_ATP
ATP2_3	MITO_ATP
ATP3_1	MITO_ATP
SEC23_1	SEC23_24
SEC23_2	SEC23_24
SEC23_3	SEC23_24
SEC23_4	SEC23_24
SEC23_5	SEC23_24
SEC24_1	SEC23_24
SEC24_2	SEC23_24
SEC24_3	SEC23_24
SEC24_4	SEC23_24
SEC24_5	SEC23_24